timestep,real,predicted
3,1.564163,1.5633802
0,1.322466,1.2415551
1,1.349817,1.2818661
2,1.389567,1.2955458
3,1.437311,1.3179969
0,0.004,-0.04843209
1,0.005417,-0.037409455
2,0.007811,-0.03603113
3,0.009678,-0.041816555
0,1.594838,1.5288808
1,1.594838,1.6218566
2,1.567353,1.595393
3,1.567353,1.6178516
0,0.881533,0.951553
1,0.878446,0.91155463
2,0.870742,0.9199779
3,0.865204,0.8981113
0,0.039383,0.13274416
1,0.039,-0.050375395
2,0.038733,-0.0035038255
3,0.038467,-0.06938268
0,1.548333,1.5679662
1,1.548333,1.5269703
2,1.548333,1.5358503
3,1.469333,1.5069779
0,2.864845,2.9594197
1,2.864845,2.719293
2,2.864845,2.7829888
3,2.864845,2.6977139
0,0.032733,0.1911496
1,0.032733,0.074875854
2,0.032056,0.10518715
3,0.031133,0.062329657
0,1.311517,1.3577279
1,1.296333,1.3576227
2,1.285111,1.3556926
3,1.271475,1.3456888
0,0.155239,0.15134256
1,0.151389,0.09540071
2,0.151,0.1072683
3,0.151,0.08482475
0,0.337378,0.42752984
1,0.334578,0.39955094
2,0.33155,0.40561017
3,0.328767,0.38808727
0,1.267045,1.3298773
1,1.267045,1.2323058
2,1.267045,1.2617891
3,1.267045,1.2268244
0,1.690383,1.5852112
1,1.690383,1.6097538
2,1.690383,1.6173263
3,1.600541,1.6226394
0,1.237841,1.2699949
1,1.237841,1.282181
2,1.188766,1.2753648
3,1.189283,1.2705845
0,0.658428,0.7743157
1,0.6657,0.61082447
2,0.670438,0.6726685
3,0.669867,0.60943705
0,1.804778,1.6902612
1,1.744129,1.7718378
2,1.726,1.7450318
3,1.748378,1.7643431
0,0.571244,0.47573596
1,0.557544,0.5341273
2,0.567989,0.5185483
3,0.562093,0.53080773
0,0.493617,0.6037817
1,0.492639,0.5405391
2,0.50517,0.56377107
3,0.515756,0.540245
0,0.620411,0.59104234
1,0.643333,0.58460784
2,0.665544,0.60923845
3,0.686978,0.6020025
0,0.385389,0.4321118
1,0.381656,0.43019488
2,0.376546,0.43383497
3,0.372389,0.4287094
0,1.668359,1.5326759
1,1.668359,1.6398528
2,1.668359,1.6088338
3,1.668359,1.6405832
0,0.715372,0.6032311
1,0.696239,0.68124646
2,0.695215,0.65820825
3,0.690968,0.6764569
0,1.643863,1.5992843
1,1.684121,1.6488559
2,1.704022,1.6423371
3,1.691712,1.6511253
0,0.701022,0.5634619
1,0.698111,0.63113666
2,0.696,0.6122124
3,0.6942,0.6317708
0,0.027733,0.04499311
1,0.031639,-0.07260122
2,0.037022,-0.03952672
3,0.04345,-0.080882624
0,0.443856,0.46483284
1,0.444,0.41323048
2,0.443344,0.42699242
3,0.449917,0.40252626
0,0.727901,0.6529498
1,0.727901,0.7638108
2,0.727901,0.73148763
3,0.727901,0.765622
0,0.818789,0.84978354
1,0.813093,0.8302598
2,0.806535,0.83320105
3,0.798981,0.8199114
0,0.013,0.26718795
1,0.011933,-0.21938068
2,0.011133,-0.09040573
3,0.011,-0.26239014
0,0.1126,0.12547639
1,0.1164,0.05835924
2,0.1222,0.092975646
3,0.1298,0.06771834
0,1.44703,1.3962196
1,1.49035,1.3699508
2,1.53435,1.3980441
3,1.576138,1.3872181
0,0.679167,0.77541095
1,0.675689,0.7488979
2,0.672689,0.7538862
3,0.668456,0.7384609
0,0.538733,0.5653988
1,0.535711,0.5782792
2,0.532061,0.5722833
3,0.528178,0.567637
0,0.470002,0.5711059
1,0.466111,0.5454566
2,0.460828,0.5503442
3,0.455644,0.53284216
0,0.992744,1.0681006
1,0.993789,0.8701789
2,0.989111,0.9469302
3,0.979789,0.8695098
0,0.255589,0.27370372
1,0.253322,0.291164
2,0.249239,0.28296968
3,0.245922,0.28498715
0,0.979433,1.0448678
1,0.962496,1.0082412
2,0.950783,1.0184815
3,0.942225,1.0036792
0,0.769556,0.7175243
1,0.765058,0.8016887
2,0.759167,0.7742644
3,0.752289,0.7937302
0,0.0308,-0.016717488
1,0.031,5.1677227e-05
2,0.0306,-0.008056425
3,0.031,-0.0054084733
0,2.546071,2.5197175
1,2.546071,2.617225
2,2.546071,2.5868258
3,2.546071,2.6158047
0,0.098617,0.15025192
1,0.101,0.120817035
2,0.101,0.13271852
3,0.102888,0.11749995
0,0.171551,0.31061077
1,0.165978,0.20551735
2,0.160111,0.23066454
3,0.153679,0.18732709
0,1.303359,1.3165637
1,1.303359,1.2566805
2,1.303359,1.2701094
3,1.303359,1.241684
0,0.0854,0.013484839
1,0.086356,0.0012435243
2,0.089294,0.008055545
3,0.091289,0.004975222
0,0.213056,0.16190861
1,0.212,0.17599955
2,0.210112,0.17195582
3,0.21,0.17452416
0,0.152667,0.15138243
1,0.151133,0.23949084
2,0.149933,0.21340282
3,0.148578,0.24041456
0,0.95672,1.0384368
1,0.95672,1.021543
2,0.934417,1.0244278
3,0.934417,1.0094643
0,0.087,0.09369628
1,0.087,0.08894464
2,0.086445,0.09094804
3,0.086778,0.08249885
0,1.790326,1.6647979
1,1.811431,1.680947
2,1.818028,1.6876471
3,1.809889,1.6801734
0,0.535244,0.4994283
1,0.544483,0.5717023
2,0.553022,0.54968333
3,0.566848,0.5689458
0,0.108244,0.16197523
1,0.107,0.1117557
2,0.105711,0.13051371
3,0.104678,0.11173258
0,1.030733,1.0226628
1,1.013741,1.0096939
2,1.01363,1.0097413
3,1.011496,0.98857915
0,1.142511,1.1372819
1,1.142511,1.2066703
2,1.142511,1.1837189
3,1.142511,1.1980137
0,1.55983,1.5511575
1,1.546128,1.5943099
2,1.535862,1.5804816
3,1.527295,1.5875503
0,0.713356,0.63157594
1,0.7158,0.66758007
2,0.7126,0.65583926
3,0.712,0.6604735
0,1.005639,0.70582944
1,1.021871,0.84127724
2,1.004326,0.80485797
3,1.025822,0.84822375
0,0.019056,-0.061100453
1,0.019221,-0.053245686
2,0.018267,-0.059439365
3,0.018,-0.06059289
0,0.546056,0.54903466
1,0.545333,0.62953556
2,0.5397,0.6038683
3,0.537178,0.6279444
0,0.717715,0.7574794
1,0.740092,0.78446144
2,0.764856,0.8010838
3,0.798772,0.8099648
0,1.001397,0.8665491
1,1.001397,0.8650615
2,1.001397,0.8773846
3,1.001397,0.8738241
0,0.409433,0.539452
1,0.40195,0.5234957
2,0.393478,0.52624404
3,0.385911,0.5112791
0,0.6868,0.67644703
1,0.68125,0.64715934
2,0.675626,0.655309
3,0.665833,0.63329613
0,0.816415,0.8309302
1,0.810687,0.8347049
2,0.796533,0.8312185
3,0.787833,0.8197779
0,0.469,0.50015175
1,0.462684,0.5264686
2,0.455111,0.5172862
3,0.449894,0.5158145
0,0.75815,0.8839777
1,0.750256,0.70882004
2,0.739189,0.7581707
3,0.729183,0.6884832
0,0.825667,0.902223
1,0.830533,0.8813125
2,0.828948,0.8842989
3,0.837944,0.8672668
0,0.65865,0.66291225
1,0.650839,0.66324407
2,0.651739,0.6602114
3,0.648918,0.65525925
0,2.064944,2.0176082
1,2.064944,2.0050685
2,2.064944,2.0056496
3,2.064944,1.9971405
0,0.546911,0.61868083
1,0.563735,0.5438033
2,0.591333,0.5665375
3,0.613448,0.53338027
0,1.108185,1.1123236
1,1.101133,1.1289886
2,1.09214,1.1233714
3,1.082628,1.1221194
0,0.175112,0.23533656
1,0.173789,0.20405212
2,0.172056,0.2131937
3,0.170383,0.19895267
0,0.043211,0.15073329
1,0.043211,0.054689087
2,0.043211,0.09629629
3,0.043211,0.060736276
0,0.0354,0.020276666
1,0.035533,0.05128054
2,0.035789,0.04282963
3,0.0358,0.04747726
0,0.347844,0.37766272
1,0.3439,0.36298755
2,0.340856,0.3652572
3,0.337789,0.35369724
0,1.44897,1.4347708
1,1.514642,1.4592437
2,1.564756,1.45874
3,1.532467,1.4601142
0,0.603767,0.7753698
1,0.602444,0.6524363
2,0.5994,0.68425155
3,0.599133,0.63895684
0,2.080651,2.0398297
1,2.103178,2.1283813
2,2.142956,2.1011322
3,2.076467,2.1254997
0,0.1222,0.18074645
1,0.1298,0.13054156
2,0.1382,0.15480919
3,0.1472,0.13216785
0,0.295656,0.30815664
1,0.293256,0.2984824
2,0.290844,0.29870772
3,0.287106,0.2874402
0,0.116,0.13446006
1,0.114856,0.14515272
2,0.114,0.14032266
